"tract","Name","Household_Income_at_Age_35_rP_gP_pall","Incarceration_Rate_rP_gP_pall","Teenage_Birth_Rate_women_only_rP_gP_pall","Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall","Fraction_Married_at_Age_35_rP_gP_pall","Spouse's_Income_at_Age_35_rP_gP_pall","Employment_Rate_at_Age_35_rP_gP_pall","High_School_Graduation_Rate_rP_gP_pall","College_Graduation_Rate_rP_gP_pall","Hours_Worked_Per_Week_at_Age_35_rP_gP_pall","Hourly_Wage_$/hour_at_Age_35_rP_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall","%_Staying_in_Same_Tract_as_Adults_rP_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Household_Income_for_U.S._Natives_rP_gP_pall","Household_Income_for_Immigrants_rP_gP_pall","Individual_Income_for_U.S._Natives_rP_gP_pall","Individual_Income_for_Immigrants_rP_gP_pall","Number_of_Children_rP_gP_pall"
6029003305,"Frazier Park, CA",48117,0.0027,,33613,0.4157,38997,0.7819,,,,,0.2429,,0.306,,0.5614,0.1861,48866,31625,,,,,852
6029003306,"Frazier Park, CA",44224,0.0039,,30228,0.4836,30393,0.7548,,,,,0.1866,,0.2482,,0.4994,0.2416,37277,28253,,,,,1156
6029005506,"Rosamond, CA",40065,0.0172,,28274,0.4205,34538,0.7363,,,,,0.1666,,0.1852,,0.5027,0.2025,34953,27066,,,,,1518
6029005700,"Edwards, Edwards Air Force Base, CA",47408,0.0088,,31234,0.5105,38611,0.7934,,,,,0.204,,0.2224,,0.4477,0.1423,42953,30621,,,,,2448
6029005801,"Rosamond, CA",43016,0.0111,,29385,0.4732,36789,0.7641,,,,,0.1791,,0.2193,,0.5314,0.2174,40223,27685,,,,,1539
6029005802,"Rosamond, CA",36638,0.0225,,25315,0.404,34955,0.7065,,,,,0.1486,,0.1724,,0.546,0.2128,35194,25528,,,,,1894
6029006007,"Tehachapi, CA",46645,0.0063,,29875,0.5778,33462,0.7075,,,,,0.2428,,0.2705,,0.558,0.1658,43943,29696,,,,,1175
6037101110,"Tujunga, Los Angeles, CA",39544,0.0081,,29078,0.3625,38985,0.7507,,,,,0.1714,,0.1983,,0.7703,0.2352,40701,30946,,,,,1174
6037101122,"Tujunga, Los Angeles, CA",46936,0.0105,,33816,0.4183,38170,0.7392,,,,,0.2259,,0.2927,,0.7655,0.1886,45458,32694,,,,,770
6037101210,"Tujunga, Los Angeles, CA",33666,0.0179,,23677,0.3455,37962,0.6978,,,,,0.1308,,0.1408,,0.7807,0.2112,34313,25136,,,,,1881
6037101220,"Tujunga, Los Angeles, CA",40126,0.0243,,28390,0.4044,34601,0.7025,,,,,0.1701,,0.2207,,0.8123,0.2331,42743,29927,,,,,787
6037101300,"Tujunga, Los Angeles, CA",53673,0.0046,,35464,0.5297,41329,0.746,,,,,0.295,,0.3346,,0.7829,0.2149,54672,36414,,,,,834
6037101400,"Tujunga, Los Angeles, CA",48061,0.0057,,34770,0.4368,40621,0.7283,,,,,0.239,,0.2857,,0.7618,0.1931,49120,36389,,,,,873
6037102103,"Sun Valley, Los Angeles, CA",47989,0.0018,,34448,0.4875,39177,0.778,,,,,0.2628,,0.3191,,0.8129,0.2442,48861,35385,,,,,366
6037102104,"Burbank, CA",59780,0.0002,,40630,0.5042,41670,0.789,,,,,0.4016,,0.4238,,0.8179,0.2599,58892,40846,,,,,726
6037102105,"Sun Valley, Los Angeles, CA",38178,0.0104,,29993,0.2581,37807,0.7479,,,,,0.1634,,0.2031,,0.8369,0.2934,39024,30649,,,,,344
6037102107,"Sun Valley, Los Angeles, CA",39599,0.0065,,29432,0.373,35731,0.71,,,,,0.1759,,0.2538,,0.7615,0.2728,41396,30024,,,,,941
6037103101,"Sunland-Tujunga, Los Angeles, CA",42622,0.008,,30561,0.3965,38322,0.746,,,,,0.2159,,0.245,,0.7796,0.246,44295,30688,,,,,683
6037103102,"Sunland-Tujunga, Los Angeles, CA",41475,0.0083,,29875,0.3917,43014,0.757,,,,,0.2033,,0.2218,,0.7996,0.2818,42210,30993,,,,,1186
6037103200,"Sunland-Tujunga, Los Angeles, CA",42379,0.0096,,30398,0.3904,40598,0.7442,,,,,0.2104,,0.2355,,0.7681,0.2539,42844,31400,,,,,1333
6037103300,"Los Angeles, CA",50321,0.0014,,31742,0.4864,41986,0.715,,,,,0.3169,,0.2777,,0.7499,0.213,50857,33092,,,,,679
6037103400,"Sunland-Tujunga, Los Angeles, CA",46036,0.0125,,31243,0.4631,42861,0.7515,,,,,0.2294,,0.242,,0.7752,0.221,47172,32593,,,,,1446
6037104103,"Sylmar, Los Angeles, CA",34446,0.008,,27861,0.2951,33391,0.7641,,,,,0.1186,,0.1498,,0.8142,0.3409,36684,29497,,,,,1278
6037104105,"Pacoima, Los Angeles, CA",33866,0.0141,,27227,0.2961,35464,0.746,,,,,0.1159,,0.162,,0.8473,0.2542,35514,28689,,,,,2011
6037104108,"Pacoima, Los Angeles, CA",31091,0.0102,,25012,0.2362,34885,0.7173,,,,,0.0632,,0.1177,,0.8611,0.2787,33090,27184,,,,,1766
6037104124,"Lake View Terrace, Los Angeles, CA",37689,0.0182,,28268,0.3091,41600,0.7489,,,,,0.1478,,0.1847,,0.785,0.252,37031,28514,,,,,1230
6037104201,"Pacoima, San Fernando, CA",32815,0.016,,25708,0.2825,34658,0.7368,,,,,0.0657,,0.1206,,0.827,0.3541,34854,27537,,,,,1783
6037104203,"Pacoima, Los Angeles, CA",32358,0.0213,,26072,0.3091,32447,0.7494,,,,,0.0902,,0.1503,,0.8462,0.2752,34703,28293,,,,,1622
6037104204,"Sylmar, Los Angeles, CA",34321,0.0112,,25789,0.3188,40350,0.7328,,,,,0.1068,,0.1149,,0.801,0.3004,36318,27187,,,,,1050
6037104310,"San Fernando, CA",32339,0.01,,24951,0.2962,37950,0.7074,,,,,0.0731,,0.1206,,0.8599,0.3203,34413,27268,,,,,1710
6037104320,"Pacoima, Los Angeles, CA",30541,0.0199,,24694,0.2766,33914,0.7007,,,,,0.0782,,0.1457,,0.8535,0.3774,34534,27914,,,,,1977
6037104401,"Pacoima, Los Angeles, CA",34664,0.0115,,26498,0.3441,34989,0.7159,,,,,0.0989,,0.1421,,0.8691,0.3839,37220,28124,,,,,1161
6037104403,"Arleta, Los Angeles, CA",34875,0.0096,,26526,0.3397,35419,0.7129,,,,,0.1282,,0.1885,,0.8319,0.3182,38448,29297,,,,,1086
6037104404,"Pacoima, Los Angeles, CA",32611,0.0102,,24079,0.3483,34207,0.6999,,,,,0.0769,,0.1126,,0.8307,0.3057,34728,26091,,,,,1119
6037104500,"Pacoima, Los Angeles, CA",32394,0.003,,27108,0.2728,29803,0.7615,,,,,0.0572,,0.1304,,0.8444,0.3536,33799,28706,,,,,1056
