"tract","Name","Household_Income_at_Age_35_rP_gP_pall","Incarceration_Rate_rP_gP_pall","Teenage_Birth_Rate_women_only_rP_gP_pall","Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall","Fraction_Married_at_Age_35_rP_gP_pall","Spouse's_Income_at_Age_35_rP_gP_pall","Employment_Rate_at_Age_35_rP_gP_pall","High_School_Graduation_Rate_rP_gP_pall","College_Graduation_Rate_rP_gP_pall","Hours_Worked_Per_Week_at_Age_35_rP_gP_pall","Hourly_Wage_$/hour_at_Age_35_rP_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall","%_Staying_in_Same_Tract_as_Adults_rP_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Household_Income_for_U.S._Natives_rP_gP_pall","Household_Income_for_Immigrants_rP_gP_pall","Individual_Income_for_U.S._Natives_rP_gP_pall","Individual_Income_for_Immigrants_rP_gP_pall","Number_of_Children_rP_gP_pall"
6037211000,"Central LA, Los Angeles, CA",63504,0,,41509,0.5046,52711,0.7607,,,,,0.4334,,0.4418,,0.6394,0.1794,61857,42462,,,,,1051
6037211500,"Central LA, Los Angeles, CA",49515,0.0101,,36068,0.4288,40284,0.7744,,,,,0.299,,0.3592,,0.8118,0.241,47613,34781,,,,,1094
6037211701,"Central LA, Los Angeles, CA",51086,0.0028,,36091,0.3758,50896,0.7545,,,,,0.3444,,0.3166,,0.7528,0.2027,46838,35831,,,,,642
6037212701,"Central LA, Los Angeles, CA",41432,0.0078,,30796,0.3852,37207,0.7687,,,,,0.1964,,0.2299,,0.8386,0.264,40349,30855,,,,,508
6037212702,"Central LA, Los Angeles, CA",44101,0.0007,,30802,0.3478,50356,0.6631,,,,,0.2872,,0.2905,,0.8077,0.2586,43769,32385,,,,,759
6037212800,"Central LA, Los Angeles, CA",39402,0.0071,,30353,0.327,38502,0.7623,,,,,0.1469,,0.2193,,0.8254,0.3129,39588,30946,,,,,1377
6037212900,"Central LA, Los Angeles, CA",32147,0.015,,24744,0.2864,36811,0.6715,,,,,0.1104,,0.1405,,0.8683,0.2094,34711,27552,,,,,1200
6037214000,"Central LA, Los Angeles, CA",45205,0.0004,,26006,0.6617,35964,0.5422,,,,,0.2434,,0.2395,,0.4991,0.2526,44746,29100,,,,,1189
6037214100,"Central LA, Los Angeles, CA",62639,0.0002,,36348,0.6484,43076,0.6456,,,,,0.4252,,0.4105,,0.5901,0.2116,63771,38455,,,,,762
6037214501,"Central LA, Los Angeles, CA",39544,0.0007,,29862,0.3873,35641,0.6882,,,,,0.2258,,0.2686,,0.6524,0.1382,36148,28561,,,,,307
6037214502,"Central LA, Los Angeles, CA",50264,0,,37351,0.3478,46613,0.7734,,,,,0.3795,,0.3512,,0.7687,0.1858,47768,36233,,,,,579
6037214503,"Central LA, Los Angeles, CA",39534,0.0028,,32921,0.2718,40232,0.7268,,,,,0.1831,,0.3131,,0.7717,0.1049,40141,34279,,,,,348
6037214600,"Central LA, Los Angeles, CA",49913,0,,34256,0.523,44425,0.7414,,,,,0.3531,,0.2951,,0.7086,0.2276,46665,31576,,,,,222
6037214700,"Beverly Grove, Los Angeles, CA",62239,0.0019,,36014,0.5316,67072,0.7011,,,,,0.4412,,0.3266,,0.7237,0.17,60804,35144,,,,,279
6037214800,"Beverly Grove, Los Angeles, CA",42773,0,,32190,0.4039,45004,0.651,,,,,0.2401,,0.3325,,0.7675,0.2822,44304,34064,,,,,215
6037214901,"Beverly Grove, West Hollywood, CA",50560,0.0008,,37997,0.4042,49257,0.701,,,,,0.37,,0.4463,,0.8073,0.1241,51768,37913,,,,,229
6037214902,"Central LA, Los Angeles, CA",52938,0.0053,,31709,0.5515,47398,0.6707,,,,,0.3536,,0.3214,,0.7367,0.1555,55691,30052,,,,,193
6037215101,"Central LA, Los Angeles, CA",35385,0,,24673,0.3221,33423,0.6611,,,,,0.211,,0.2082,,0.6995,0.1632,28762,19399,,,,,165
6037215102,"Central LA, Los Angeles, CA",36107,0.0339,,26911,0.3238,38571,0.7169,,,,,0.1388,,0.1654,,0.7483,0.1597,39983,29354,,,,,207
6037216100,"Central LA, Los Angeles, CA",41371,0.0041,,33578,0.3145,48874,0.7431,,,,,0.2042,,0.2995,,0.8116,0.3099,39028,32323,,,,,401
6037216200,"Central LA, Los Angeles, CA",36105,0.0061,,29465,0.2169,46658,0.7351,,,,,0.1552,,0.2574,,0.7904,0.2077,36734,30036,,,,,680
6037216300,"Central LA, Los Angeles, CA",50810,0.0016,,37795,0.3291,47079,0.7652,,,,,0.3129,,0.3669,,0.7837,0.2342,49612,38286,,,,,673
6037216401,"Central LA, Los Angeles, CA",44526,0.0094,,29288,0.4005,44515,0.6174,,,,,0.28,,0.2642,,0.7389,0.2424,44558,29968,,,,,571
6037216402,"Central LA, Los Angeles, CA",54802,0.0022,,35114,0.4794,55330,0.7114,,,,,0.4017,,0.3765,,0.7101,0.2034,52025,34074,,,,,357
6037216700,"Central LA, Los Angeles, CA",34269,0.0157,,27391,0.2694,37591,0.7174,,,,,0.129,,0.2068,,0.7703,0.2077,35422,29741,,,,,811
6037216800,"Central LA, Los Angeles, CA",40835,0.0097,,30846,0.297,34606,0.6875,,,,,0.1866,,0.2551,,0.6949,0.2513,40286,30193,,,,,569
6037216900,"Central LA, Los Angeles, CA",34503,0.0017,,29020,0.2549,41112,0.7346,,,,,0.1455,,0.2158,,0.7734,0.2419,32371,28196,,,,,968
6037217001,"Pico - Robertson, Los Angeles, CA",47671,0,,31844,0.4684,41823,0.6693,,,,,0.3224,,0.3062,,0.7038,0.2698,45066,30025,,,,,503
6037217002,"Central LA, Los Angeles, CA",43679,0.0044,,32115,0.3603,41339,0.6869,,,,,0.2249,,0.2938,,0.7364,0.2408,41430,31011,,,,,967
6037217100,"Central LA, Los Angeles, CA",30128,0.0096,,23824,0.236,37112,0.668,,,,,0.0973,,0.165,,0.8213,0.2716,31408,25529,,,,,1527
6037217200,"Central LA, Los Angeles, CA",32135,0.0194,,25885,0.2452,42896,0.7446,,,,,0.0994,,0.169,,0.8052,0.2209,32941,26566,,,,,940
6037218110,"Central LA, Los Angeles, CA",29805,0.0169,,24970,0.2126,37527,0.6628,,,,,0.0853,,0.1607,,0.8349,0.3152,31840,27744,,,,,972
6037218120,"Central LA, Los Angeles, CA",33049,0.0164,,26900,0.2765,33319,0.7316,,,,,0.0874,,0.1577,,0.8504,0.2422,34932,28865,,,,,1436
6037218210,"Central LA, Los Angeles, CA",27549,0.0126,,23490,0.21,28089,0.7112,,,,,0.0596,,0.1101,,0.8173,0.2682,29104,24760,,,,,1491
6037218220,"Central LA, Los Angeles, CA",30672,0.0124,,25383,0.2404,35409,0.7404,,,,,0.0784,,0.1449,,0.8154,0.2195,31293,26371,,,,,1356
6037218300,"Central LA, Los Angeles, CA",29715,0.0087,,25066,0.2252,34936,0.7387,,,,,0.0722,,0.1294,,0.8347,0.3127,30954,26582,,,,,1692
6037218400,"Central LA, Los Angeles, CA",31865,0.0182,,26138,0.2417,38520,0.7189,,,,,0.0802,,0.1535,,0.8381,0.3056,32780,27281,,,,,1533
6037218500,"Central LA, Los Angeles, CA",29934,0.0171,,24575,0.2044,41013,0.7533,,,,,0.1032,,0.14,,0.8251,0.3186,31144,25845,,,,,924
6037218600,"Central LA, Los Angeles, CA",29735,0.0291,,24214,0.2176,42839,0.69,,,,,0.104,,0.1483,,0.8349,0.3005,29675,25349,,,,,714
6037218701,"Central LA, Los Angeles, CA",31111,0.019,,26554,0.2582,28600,0.7264,,,,,0.0696,,0.1366,,0.8046,0.2689,32101,27438,,,,,711
6037218800,"Central LA, Los Angeles, CA",32788,0.0263,,26513,0.2493,39727,0.7503,,,,,0.0789,,0.1421,,0.8321,0.2925,34096,28052,,,,,880
6037269100,"Pico - Robertson, Los Angeles, CA",55066,0.0011,,32367,0.5096,49419,0.6137,,,,,0.4046,,0.3172,,0.6866,0.2835,49239,32121,,,,,773
6037269500,"Beverlywood, Los Angeles, CA",65851,0.0009,,39328,0.5317,55520,0.6927,,,,,0.4504,,0.4019,,0.6777,0.2928,61891,37986,,,,,1063
6037269601,"Central LA, Los Angeles, CA",29274,0.0264,,24955,0.1999,33403,0.7293,,,,,0.0545,,0.1322,,0.8023,0.2506,28815,25249,,,,,1112
6037269602,"Central LA, Los Angeles, CA",32962,0.0091,,25538,0.2785,39448,0.7187,,,,,0.0962,,0.1637,,0.7992,0.1963,33317,26185,,,,,1059
6037269700,"Beverlywood, Los Angeles, CA",37527,0.0075,,28423,0.306,40750,0.727,,,,,0.1534,,0.2048,,0.8247,0.3146,36748,28584,,,,,965
6037270200,"Palms, Los Angeles, CA",38987,0.0251,,30577,0.3372,40321,0.7614,,,,,0.1667,,0.2015,,0.8254,0.3378,40385,31867,,,,,1112
6037270300,"Central LA, Los Angeles, CA",29483,0.0073,,24459,0.1933,37738,0.7162,,,,,0.0613,,0.1335,,0.7761,0.3419,28277,24009,,,,,627
6037700802,"Beverly Hills, CA",57196,0,,38379,0.4178,57728,0.6457,,,,,0.4217,,0.4073,,0.7751,0.2145,57700,38382,,,,,650
6037700901,"Central LA, Beverly Hills, CA",58571,0.0003,,38776,0.4903,54525,0.6871,,,,,0.4219,,0.4552,,0.78,0.2486,58874,39199,,,,,948
